slopeH,NADPH_flux,NAD_flux,Fd_flux,F_yield,F_sc,D_to_H1_flux,L1_to_D_flux,FeS_H1_pot,S_FAD_mid_pot
-0.1996399639963996,-0.0017826551578963,0.0010124461386116,0.0007702055048777,-0.0035653068013857,7.238795114441888e-06,7.093836282150934e-06,1.4495883229095332e-07,-0.1596399639963996,-0.3592799279927993
-0.1996199619961996,-0.0017800115000596,0.0010108737179503,0.0007692021364884,-0.0035600873544985,7.22106393888402e-06,7.07644127400677e-06,1.4462266487725033e-07,-0.1596199619961996,-0.3592399239923993
-0.1995999599959996,-0.0017854025105918,0.001013796546713,0.0007716213568456,-0.0035708204141505,7.235461685368277e-06,7.0905317314719805e-06,1.4492995389629617e-07,-0.1595999599959996,-0.3591999199919992
-0.1995799579957995,-0.0017899168360173,0.0010162557052537,0.0007736846359562,-0.0035798571772274,7.246536330519245e-06,7.101365436783661e-06,1.4517089373558385e-07,-0.1595799579957995,-0.3591599159915992
-0.1995599559955995,-0.0017907025520429,0.0010165738163915,0.0007741221279091,-0.0035813984963436,7.242292607075235e-06,7.097187887822076e-06,1.4510471925315905e-07,-0.1595599559955995,-0.3591199119911991
-0.1995399539953995,-0.0017894984881792,0.0010157995675948,0.0007737269683218,-0.0035790250240959,7.230281341081601e-06,7.0853984291160936e-06,1.4488291196550708e-07,-0.1595399539953995,-0.3590799079907991
-0.1995199519951995,-0.0017920418246148,0.0010171329037053,0.0007749351651287,-0.0035841098934489,7.233294143383464e-06,7.0883319593439445e-06,1.4496218403951954e-07,-0.1595199519951995,-0.3590399039903991
-0.1994999499949995,-0.0017930972465762,0.0010176188244564,0.0007754980440439,-0.0035862141150767,7.230280943584256e-06,7.085360247198245e-06,1.449206963860105e-07,-0.1594999499949995,-0.358999899989999
-0.1994799479947994,-0.0018028715585103,0.0010230460665795,0.0007798250648076,-0.0036057426898975,7.262391043790401e-06,7.116807587846083e-06,1.455834559443178e-07,-0.1594799479947994,-0.358959895989599
-0.1994599459945994,-0.0017974241390845,0.0010198812453345,0.0007776104547656,-0.0035949158391847,7.233407683613644e-06,7.088386586814309e-06,1.4502109679933545e-07,-0.1594599459945994,-0.3589198919891989
-0.1994399439943994,-0.0018065036163648,0.0010248856351579,0.000781613690258,-0.0036130029417808,7.262463444540749e-06,7.116840601259452e-06,1.45622843281297e-07,-0.1594399439943994,-0.3588798879887989
-0.1994199419941994,-0.0018050903668864,0.0010239774503659,0.0007811162952466,-0.003610184112499,7.249509323845221e-06,7.104127550626951e-06,1.4538177321826956e-07,-0.1594199419941994,-0.3588398839883989
-0.1993999399939994,-0.0018071323734289,0.0010250338705921,0.0007821155996365,-0.0036142818436576,7.25053037374505e-06,7.105109106406079e-06,1.4542126733897126e-07,-0.1593999399939994,-0.3587998799879988
-0.1993799379937993,-0.0018114146680119,0.0010273412357412,0.0007840681452242,-0.0036228240489774,7.260373406501797e-06,7.114735820297309e-06,1.4563758620448784e-07,-0.1593799379937993,-0.3587598759875988
-0.1993599359935993,-0.0018130396208846,0.0010281871292897,0.00078490829571,-0.0036261350458844,7.259867822427067e-06,7.114221522180206e-06,1.4564630024686072e-07,-0.1593599359935993,-0.3587198719871987
-0.1993399339933993,-0.0018133945170148,0.0010282773747872,0.0007851736499915,-0.0036268455417936,7.254047102118568e-06,7.1084985931397105e-06,1.4554850897885744e-07,-0.1593399339933993,-0.3586798679867987
-0.1993199319931993,-0.0018227280099978,0.0010334216800352,0.0007892878577195,-0.0036454375477527,7.283895831831868e-06,7.13772926015306e-06,1.4616657167880833e-07,-0.1593199319931993,-0.3586398639863987
-0.1992999299929993,-0.0018221924212582,0.0010330275194392,0.0007891831383464,-0.0036444030790438,7.274621151250209e-06,7.128621834217948e-06,1.4599931703226089e-07,-0.1592999299929993,-0.3585998599859986
-0.1992799279927992,-0.0018242517339359,0.0010340935466413,0.0007901906720264,-0.0036485359526037,7.275653887591627e-06,7.129614909282797e-06,1.460389783088296e-07,-0.1592799279927992,-0.3585598559855986
-0.1992599259925992,-0.0018231852335048,0.0010333922385315,0.0007898509843466,-0.0036464284563831,7.264245827825607e-06,7.1184170014065644e-06,1.4582882641904298e-07,-0.1592599259925992,-0.3585198519851985
-0.1992399239923992,-0.0018279037792154,0.0010359240742443,0.0007919772535331,-0.003655805106993,7.275580458221143e-06,7.129505218053211e-06,1.4607524016793205e-07,-0.1592399239923992,-0.3584798479847985
-0.1992199219921992,-0.0018291813690609,0.0010365666792395,0.0007926578774832,-0.0036584059257837,7.273631529263293e-06,7.127576435200875e-06,1.4605509406241798e-07,-0.1592199219921992,-0.3584398439843985
-0.1991999199919992,-0.001834543701662,0.0010394610038556,0.0007950670665806,-0.0036690717720982,7.287493149404108e-06,7.141140727010057e-06,1.4635242239405114e-07,-0.1591999199919992,-0.3583998399839984
