slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,slopeH_rounded
-0.154339934,-0.000511279,0.000216738,0.000239715,0.082216459,1033.3443040764262,-0.15434
-0.154331933,-0.000511065,0.000216502,0.000239604,0.082486313,1033.9431174737565,-0.154332
-0.154323932,-0.000511042,0.000216371,0.00023959,0.082707266,1034.122650171489,-0.154324
-0.154315932,-0.000510939,0.000216335,0.000239541,0.082694762,1034.3233244034143,-0.154316
-0.154307931,-0.000510765,0.000216164,0.00023946,0.082871681,1034.780316548825,-0.154308
-0.15429993,-0.00051048,0.000216108,0.000239324,0.082755845,1035.290461226412,-0.1543
-0.154291929,-0.000510371,0.000215956,0.00023927,0.082950108,1035.6291614825277,-0.154292
-0.154283928,-0.000510235,0.000215794,0.000239206,0.083140479,1036.0172667839977,-0.154284
-0.154275928,-0.000510001,0.000215724,0.000239094,0.083089132,1036.4633935142297,-0.154276
-0.154267927,-0.000509903,0.000215652,0.000239052,0.083141656,1036.6913885786255,-0.154268
-0.154259926,-0.000509841,0.000215448,0.000239012,0.083471747,1037.0202555748308,-0.15426
-0.154251925,-0.000509698,0.00021538,0.000238945,0.083487515,1037.3205537102472,-0.154252
-0.154243924,-0.000509496,0.000215174,0.000238851,0.083705702,1037.860662563187,-0.154244
-0.154235924,-0.00050923,0.000215061,0.000238727,0.083706759,1038.4024543194485,-0.154236
-0.154227923,-0.000509238,0.000214994,0.000238725,0.083838741,1038.4676123607828,-0.154228
-0.154219922,-0.000508881,0.000214794,0.000238556,0.083930429,1039.2518134418438,-0.15422
-0.154211921,-0.000508739,0.00021459,0.000238482,0.084197959,1039.7055434774209,-0.154212
-0.15420392,-0.000508637,0.000214441,0.000238429,0.084396134,1040.0349720593754,-0.154204
-0.15419592,-0.000508655,0.000214379,0.000238439,0.08452174,1040.0721370967258,-0.154196
-0.154187919,-0.000508403,0.000214323,0.000238326,0.084426726,1040.5270193552203,-0.154188
-0.154179918,-0.000508171,0.000214123,0.000238214,0.084615265,1041.1158414339727,-0.15418
-0.154171917,-0.00050812,0.000214069,0.000238188,0.084675727,1041.258226305951,-0.154172
-0.154163916,-0.000507785,0.000213849,0.000238029,0.084822351,1042.0329053831906,-0.154164
-0.154155916,-0.000507736,0.000213765,0.000238001,0.084940692,1042.206813585405,-0.154156
-0.154147915,-0.000507625,0.00021361,0.000237947,0.085142265,1042.5553545071014,-0.154148
-0.154139914,-0.000507314,0.000213549,0.000237803,0.085011351,1043.1152665100258,-0.15414
-0.154131913,-0.000507207,0.000213344,0.000237748,0.085309983,1043.5156661271544,-0.154132
-0.154123912,-0.00050711,0.000213288,0.000237703,0.085335731,1043.7311065771755,-0.154124
-0.154115912,-0.000507055,0.000213188,0.00023767,0.085481994,1043.936605028907,-0.154116
-0.154107911,-0.000506773,0.000212978,0.000237532,0.085653716,1044.623249303871,-0.154108
-0.15409991,-0.000506603,0.000212953,0.00023746,0.085563546,1044.914240094873,-0.1541
-0.154091909,-0.00050644,0.000212912,0.000237384,0.085512335,1045.2204859212466,-0.154092
-0.154083908,-0.000506217,0.000212716,0.000237277,0.085703767,1045.7959511360966,-0.154084
-0.154075908,-0.000506141,0.000212526,0.000237234,0.086000273,1046.1339491721287,-0.154076
-0.154067907,-0.000505957,0.000212488,0.000237145,0.085929348,1046.4745489866486,-0.154068
-0.154059906,-0.000505883,0.000212305,0.000237104,0.086211868,1046.8000043686593,-0.15406
-0.154051905,-0.000505686,0.000212182,0.000237011,0.086287388,1047.253474970329,-0.154052
-0.154043904,-0.000505472,0.00021199,0.000236911,0.086475766,1047.8086084539668,-0.154044
-0.154035904,-0.000505278,0.000211936,0.000236823,0.086424853,1048.1779811977715,-0.154036
-0.154027903,-0.000505189,0.000211754,0.00023677,0.086699034,1048.5331775438058,-0.154028
-0.154019902,-0.000505102,0.000211694,0.000236734,0.086738911,1048.7354915178944,-0.15402
-0.154011901,-0.000504856,0.000211467,0.000236609,0.086974989,1049.393549765888,-0.154012
-0.1540039,-0.000504629,0.000211395,0.00023651,0.086927496,1049.831501218763,-0.154004
-0.1539959,-0.000504596,0.000211299,0.000236488,0.087083664,1049.9975609402818,-0.153996
-0.153987899,-0.000504442,0.000211193,0.000236412,0.087161674,1050.3680942059616,-0.153988
-0.153979898,-0.000504146,0.000210957,0.000236271,0.087370846,1051.110917398693,-0.15398
-0.153971897,-0.000504052,0.00021093,0.000236227,0.087348439,1051.2935035588412,-0.153972
-0.153963896,-0.000503873,0.000210826,0.000236143,0.087403215,1051.700234,-0.153964
-0.153955896,-0.000503696,0.000210717,0.000236061,0.087466412,1052.105883205427,-0.153956
-0.153947895,-0.000503631,0.000210585,0.000236025,0.08766533,1052.3642576748923,-0.153948
-0.153939894,-0.00050335,0.000210379,0.000235888,0.087832888,1053.0551319792132,-0.15394
